,date,open,high,low,close,adj close,volume,sentiment
0,11/2/2020,983,989,983,986,986,176,0.10102192164179094
1,12/2/2020,989,997,986,997,997,266,0.1107576002944423
2,13/2/2020,999,999,983,993,993,186,0.12094124597207288
3,14/2/2020,1022,1024,1016,1020,1020,472,0.11888302583025823
4,17/2/2020,1028,1028,1014,1018,1018,308,0.07962994350282487
5,18/2/2020,991,991,970,983,983,448,0.10960977443609023
6,19/2/2020,987,997,987,996,996,186,0.11277701149425287
7,20/2/2020,982,984,960,960,960,226,0.20723725490196088
8,21/2/2020,962,965,948,954,954,331,0.11351290322580644
9,24/2/2020,915,923,891,891,891,1459,0.2154310344827586
10,25/2/2020,936,938,909,911,911,1332,0.1738785714285714
11,26/2/2020,905,910,887,901,901,1780,0.06765
12,27/2/2020,890,904,860,860,860,943,0.1173741935483871
13,28/2/2020,830,863,830,851,851,2426,0.0644
14,2/3/2020,864,900,851,900,900,1747,0.1049375
15,3/3/2020,884,895,881,886,886,1018,0.10634000000000003
16,4/3/2020,901,917,901,916,916,579,0.11381999999999999
17,5/3/2020,925,928,903,907,907,363,0.10700909090909091
18,6/3/2020,885,890,855,870,870,181,0.08684999999999998
19,9/3/2020,807,832,794,810,810,759,0.04102000000000001
20,10/3/2020,833,844,826,841,841,792,0.25672666666666666
21,11/3/2020,821,827,805,805,805,2024,0.1843357142857143
22,12/3/2020,792,798,711,728,728,2067,0.2915111111111111
23,13/3/2020,775,820,773,777,777,1351,0.13175238095238095
24,16/3/2020,757,757,699,723,723,987,-0.1526818181818182
25,17/3/2020,731,739,685,722,722,844,0.10568823529411764
26,18/3/2020,699,699,662,669,669,477,0.10506875
27,19/3/2020,648,685,631,680,680,1239,0.12338571428571428
28,20/3/2020,704,735,702,730,730,484,0.0863
29,23/3/2020,673,689,660,668,668,699,0.04790909090909091
30,24/3/2020,724,755,717,755,755,566,-0.024550000000000006
31,25/3/2020,776,795,771,772,772,1255,0.015364285714285716
32,26/3/2020,767,794,749,794,794,176,0.13385833333333333
33,27/3/2020,774,774,733,736,736,682,0.1569
34,30/3/2020,736,765,736,765,765,268,0.1435
35,31/3/2020,749,764,745,759,759,631,0.19041111111111111
36,1/4/2020,745,745,709,720,720,793,0.28858333333333336
37,2/4/2020,726,743,726,740,740,370,0.20951666666666666
38,3/4/2020,747,751,744,748,748,382,0.18312500000000004
39,6/4/2020,761,779,757,775,775,463,0.16183999999999998
40,7/4/2020,787,811,787,806,806,1209,0.11186000000000003
41,8/4/2020,796,805,788,805,805,146,0.29956666666666665
42,9/4/2020,801,801,793,798,798,607,0.24776000000000004
